work_id,title,author,rating,category,fandom,relationship,character,additional_tags,warnings,language,date updated,status,words,chapters,comments,kudos,bookmarks,hits
12006417,survival is a talent,ShanaStoryteller,Teen And Up Audiences,"Gen, M/M",Harry Potter - J. K. Rowling,Draco Malfoy/Harry Potter,"Harry Potter , Draco Malfoy , Ron Weasley , Hermione Granger , Blaise Zabini , Millicent Bulstrode , Lucius Malfoy , Narcissa Black Malfoy , Ginny Weasley , Remus Lupin , Sirius Black","Soulmate AU , Indian Harry Potter , Black Hermione Granger , canon? i don't know her , Slow Build , Lucius Malfoy is a bad person but a good father , Parselmouth Harry Potter , Smart Draco Malfoy , I'm offended that's a tag OF COURSE he's smart , sometimes bad things happen , but this fic isn't out to hurt you , Secret Relationship , Slytherins and Gryffindors being reluctant friends , Plotty , suprising lack of focus on soulmates for a soulmate au",Creator Chose Not To Use Archive Warnings,English,03 Jan 2021,Work in Progress,"385,233",24/?,8984,28587,9466,740720
7331278,Hermione Granger's Hogwarts Crammer for Delinquents on the Run,waspabi,Teen And Up Audiences,M/M,Harry Potter - J. K. Rowling,"Draco Malfoy/Harry Potter , Hermione Granger/Ron Weasley","Harry Potter , Draco Malfoy , Hermione Granger , Ron Weasley , Luna Lovegood , Ginny Weasley , Neville Longbottom","Pining , Humor , Hijinks & Shenanigans , Alternate Universe - Canon Divergence , Friendship",No Archive Warnings Apply,English,21 May 2017,Complete Work,"93,391",8/8,2590,29045,10088,520852
3171550,Running on Air,eleventy7,Teen And Up Audiences,Multi,Harry Potter - J. K. Rowling,"Draco Malfoy/Harry Potter , Harry/Ginny , past Draco/Astoria","Draco Malfoy , Harry Potter , Hermione Granger , Ron Weasley , Astoria Greengrass , Ginny Weasley","Mystery , Drama , Friendship , Slow Burn , Romance",No Archive Warnings Apply,English,25 Dec 2014,Complete Work,"74,875",17/17,3026,25814,8435,416955
1651109,Text Talk,merlywhirls,Not Rated,No category,Harry Potter - J. K. Rowling,"Sirius Black/Remus Lupin , wolfstar - Relationship","Sirius Black , Remus Lupin , James Potter , Peter Pettigrew , Moony , Wormtail , Padfoot , Prongs , Lily Evans , Lily Potter , Alice Longbottom , Frank Longbottom","text , Texting , text fic , Hospital , Boarding School , MWPP , Marauders era , The Marauders - Freeform , Maurders AU , AU , Alternate Universe , Modern AU , texting fic , School , Injury , Mention of family abuse , mention of depression , family stuff , Parents , Illness , Homophobic Slurs , Mention Of Homophobia","Creator Chose Not To Use Archive Warnings , No Archive Warnings Apply",English,31 Dec 2015,Complete Work,"141,250",14/14,2682,22516,5581,413655
1097794,The Syntax of Things,Arrisha,Not Rated,M/M,Harry Potter - J. K. Rowling,Harry Potter/Severus Snape,,"Spinner's End , Mentor Snape , Coming Out , Slow Build , Teacher-Student Relationship , Implied/Referenced Homophobia , Canon Compliant , Drinking & Talking , Angst and Humor , Classics , In Character , Community: snape_potter , Unresolved Sexual Tension , Unresolved Romantic Tension , Alcohol Abuse/Alcoholism","Underage , Creator Chose Not To Use Archive Warnings",English,09 Nov 2019,Work in Progress,"168,337",70/71,2480,3689,648,398122
4371455,hello goodbye ('twas nice to know you),tamerofdarkstars,Teen And Up Audiences,M/M,Harry Potter - J. K. Rowling,Draco Malfoy/Harry Potter,"Draco Malfoy , Harry Potter , Blaise Zabini , Dean Thomas , Seamus Finnigan , Ensemble","Soulmate-Identifying Marks , Alternate Universe - Soulmates , finally finished this holy hell , Fluff , seriously so much fluff , Hogwarts Eighth Year , Spanish Translation , 中文翻译 | Translation in Chinese , Перевод на русский | Translation in Russian",No Archive Warnings Apply,English,19 Jul 2015,Complete Work,"4,807",1/1,359,28799,3796,362183
1085412,A Marauder's Plan,CatsAreCool (Rachel500),Teen And Up Audiences,Multi,Harry Potter - J. K. Rowling,Hermione Granger/Harry Potter,"Harry Potter , Sirius Black , Remus Lupin , Hermione Granger , Ron Weasley , Neville Longbottom , Albus Dumbledore , Peter Pettigrew","Alternate Universe , Child Abuse","Major Character Death , Underage , Rape/Non-Con",English,13 Jun 2016,Complete Work,"865,520",87/87,1830,6339,2925,355713
7189349,Wear Me Like A Locket Around Your Throat,VivyPotter,Teen And Up Audiences,"M/M, Multi",Harry Potter - J. K. Rowling,"Harry Potter/Tom Riddle , Harry Potter & Tom Riddle , Druella Rosier Black/Walburga Black , Orion Black/Walburga Black , (Kind of) - Relationship","Harry Potter , Tom Riddle , Albus Dumbledore , Olive Hornby , Original Male Character(s) , Avery Sr. (Harry Potter) , Lestrange Sr. , Rosier Sr. , Rubeus Hagrid , Septimus Weasley , Mulciber Sr. (Harry Potter) , Walburga Black , Orion Black , Nott Sr. (Harry Potter) , Abraxas Malfoy , Horace Slughorn , Druella Rosier Black , Moaning Myrtle , Armando Dippet","Alternate Universe - Time Travel , Time Travel , Angst , Violence , Slytherin Harry Potter , Not entirely canon accurate , Alternate Universe - Canon Divergence , Antiquated Views , Mild Gore , Implied/Referenced Child Abuse , Denial , Slow Burn , Slow Build , Implied/Referenced Sexual Assault , But not between Harry and Tom , This is a fun story- promise! , I obviously want to write a slow burn rom com",Creator Chose Not To Use Archive Warnings,English,19 Oct 2019,Work in Progress,"221,010",29/?,2937,14620,4291,331653
6614155,Full circle,tetsurashian,Not Rated,M/M,Harry Potter - J. K. Rowling,"Harry Potter/Tom Riddle | Voldemort , Harry Potter/Tom Riddle","Harry Potter , Tom Riddle | Voldemort","Alternate Universe , A different kind of soulmate , Master of Death Harry Potter , Reincarnation , Humor , Crack Treated Seriously , Background Relationships",Creator Chose Not To Use Archive Warnings,English,01 Feb 2019,Work in Progress,"67,460",27/?,4369,22807,7000,318769
3390668,C'est La Vie,cywscross,Teen And Up Audiences,Gen,Harry Potter - J. K. Rowling,"Minor or Background Relationship(s) , Sirius Black/Remus Lupin , James Potter/Lily Evans Potter","Harry Potter , Hadrian Evans , Ron Weasley , Hermione Granger , Orion Black , Neville Longbottom , Luna Lovegood , Fleur Delacour , Viktor Krum , Cedric Diggory , James Potter , Lily Evans Potter , Severus Snape , Albus Dumbledore , Sirius Black , Remus Lupin , Bathsheda Babbling , Draco Malfoy , Blaise Zabini , Theodore Nott , Fred Weasley , George Weasley , Gabrielle Delacour , Hogwarts Students , Hogwarts Staff","Alternate Universe , Alternate Universe - Canon Divergence , Time Travel , Dimension Travel , Original Character(s) , Language , Violence , canon only until end of fifth year with an extra six-year wartime period thrown in after that , Other Additional Tags to Be Added , Don't copy to another site",Creator Chose Not To Use Archive Warnings,English,19 Feb 2015,Work in Progress,"102,274",9/?,1538,13077,4814,311015
